Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
8695289845213706242, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 26, 1.76075e-06, 1.20598e-05
5380507932549860036, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 32, 2.40294e-06, 4.89038e-06
8322935520022196980, 5000, 1.0e-09, 2.0e-07, -0.0001, 5, 5, 1.86814e-07, 2.80175e-06
5110777965065282095, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 32, 6.79406e-06, 1.05045e-05
988110752435423210, 5000, 3.0e-09, 6.0e-07, -0.0001, 22, 28, 8.07223e-06, 5.56864e-06
5359612438083655867, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 30, 4.09949e-06, 8.51892e-06
7693896440311972816, 5000, 3.0e-09, 6.0e-07, -0.0001, 19, 31, 6.8651e-06, 1.13843e-05
272972485728373750, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 19, 2.67408e-06, 9.76711e-06
4605351496002587540, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 24, 1.56598e-06, 3.8188e-06
2084550083302588206, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 28, 7.87736e-06, 7.57953e-06
5419951838836133920, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 25, 6.69292e-06, 3.7429e-06
8089661357557410541, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 32, 3.94072e-06, 1.24636e-05
1639897578472982889, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 40, 1.78835e-05, 1.05107e-05
7402927156679633604, 5000, 1.0e-09, 2.0e-07, -0.0001, 5, 9, 1.50487e-06, 2.41845e-06
5022300674181776259, 5000, 3.0e-09, 6.0e-07, -0.0001, 18, 29, 6.2447e-06, 8.80231e-06
3053666188865663441, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 25, 9.23129e-07, 2.80164e-06
7016470803570393682, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 29, 7.992e-06, 3.78966e-06
3487619773877114164, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 25, 8.65826e-06, 1.0201e-05
2535547726511965998, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 22, 6.68855e-06, 5.54515e-06
6786902506988958674, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 26, 2.73355e-06, 4.82661e-06
6918970930040925886, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 26, 2.27637e-06, 1.20386e-05
4243034039400746090, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 27, 1.96837e-06, 5.96573e-06
3916956573460632968, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 27, 5.04342e-06, 1.09344e-05
9155647356469160987, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 16, 5.71772e-06, 4.01438e-06
4595620921809126116, 5000, 1.0e-09, 2.0e-07, -0.0001, 4, 18, 1.76686e-06, 3.96302e-06
293766447700226578, 5000, 3.0e-09, 6.0e-07, -0.0001, 21, 39, 1.95588e-06, 1.29496e-05
724247641501821543, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 24, 2.75388e-06, 4.66431e-06
8092826937773834944, 5000, 3.0e-09, 6.0e-07, -0.0001, 19, 25, 7.62759e-06, 5.17676e-06
7613382171271756424, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 28, 5.04799e-06, 8.74205e-06
8521021408051759087, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 34, 4.40368e-06, 6.30409e-06
4815521085799176905, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 26, 1.06447e-06, 9.79701e-06
2062174876521610129, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 35, 1.32586e-06, 5.32738e-06
1184531502086287369, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 33, 4.64238e-06, 9.0545e-06
4259582919390181591, 5000, 3.0e-09, 6.0e-07, -0.0001, 18, 36, 7.53666e-06, 1.05815e-05
8125756064655566138, 5000, 3.0e-09, 6.0e-07, -0.0001, 18, 23, 9.76226e-06, 8.25789e-06
8199127946433907461, 5000, 1.0e-09, 2.0e-07, -0.0001, 6, 8, 1.09815e-07, 2.28204e-06
749477406950897000, 5000, 1.0e-09, 1.0e-07, -0.0001, 5, 6, 2.2902e-06, 4.22686e-07
2626940605998690046, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 21, 2.61278e-06, 6.31448e-06
6213108223012644901, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 37, 1.13238e-06, 7.4435e-06
2376688177571052255, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 28, 3.72184e-06, 4.7201e-06
7827202608641069080, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 29, 4.76303e-06, 9.2217e-06
6047074348028904688, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 26, 4.16252e-07, 7.86961e-06
1501641181452653023, 5000, 3.0e-09, 6.0e-07, -0.0001, 23, 30, 3.94056e-06, 1.0881e-05
2524834952673362746, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 22, 3.20577e-06, 4.21994e-06
707106329150482865, 5000, 3.0e-09, 6.0e-07, -0.0001, 19, 30, 1.05765e-05, 4.44809e-06
4718628721641513681, 5000, 3.0e-09, 6.0e-07, -0.0001, 7, 23, 2.24416e-06, 1.42071e-05
6573814313105071485, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 33, 6.21093e-06, 1.27537e-05
3453439030625351291, 5000, 1.0e-09, 2.0e-07, -0.0001, 6, 9, 4.62208e-07, 7.1824e-06
6185196313254762911, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 31, 4.93265e-06, 2.83716e-06
2286105447688495737, 5000, 3.0e-09, 6.0e-07, -0.0001, 8, 29, 2.81549e-06, 5.65715e-06
9107360397917817723, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 21, 2.3494e-06, 3.13195e-06
3763218404242061597, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 32, 7.60563e-06, 8.4761e-06
7307843790792103299, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 32, 7.06966e-06, 1.60604e-05
242986082456099552, 5000, 3.0e-09, 6.0e-07, -0.0001, 22, 38, 5.08927e-06, 9.62776e-06
6419490413570226758, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 18, 4.1366e-06, 2.99874e-06
2808381847746598143, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 30, 1.7823e-06, 6.48683e-06
5108700679804446254, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 29, 4.4314e-06, 7.10359e-06
1936129207472580384, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 33, 3.51154e-06, 8.03837e-06
3746100410646004774, 5000, 1.0e-09, 2.0e-07, -0.0001, 5, 4, 1.94057e-06, 5.64563e-07
5551870244105502842, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 31, 6.3414e-06, 1.15696e-05
762938114774342218, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 31, 5.72744e-06, 8.05946e-06
7537626509499724859, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 31, 3.62732e-06, 6.65581e-06
