Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
2729083960205923195, 5000, 3.0e-09, 1.0e-11, -0.0001, 25, 34, 1.02564e-05, 8.84282e-06
5351066652167706252, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 25, 9.0809e-06, 6.38272e-06
4194828917225813141, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 28, 5.32085e-06, 6.99737e-06
7832431147331058155, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 23, 1.55966e-06, 3.42509e-06
5869216720652561453, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 24, 1.48197e-06, 7.33089e-06
8287703679125047738, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 29, 8.38179e-07, 9.48772e-06
6690698683146065857, 5000, 3.0e-09, 1.0e-11, -0.0001, 24, 36, 1.13247e-05, 1.75651e-05
6412992843152521385, 5000, 1.0e-09, 1.0e-09, -0.0001, 7, 9, 1.23597e-06, 5.40997e-06
6444278694376416262, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 26, 3.11996e-06, 6.58478e-06
685190321349734127, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 23, 3.39117e-06, 4.851e-06
2853210942546788009, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 35, 2.95539e-06, 1.16488e-05
4617401479716162241, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 17, 1.07729e-05, 4.16811e-06
6666799903150845819, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 29, 4.71024e-06, 1.27963e-05
1714685197044021108, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 27, 1.2691e-05, 9.29831e-06
7836448147129943148, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 33, 8.93824e-06, 9.1699e-06
3658349224537226528, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 28, 4.80435e-06, 2.30829e-06
2243607915621508368, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 22, 1.77855e-06, 4.60412e-06
8339919010948077886, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 31, 1.3812e-06, 1.02883e-05
5647037203195833334, 5000, 1.0e-09, 1.0e-09, -0.0001, 9, 17, 1.50838e-06, 5.46545e-06
3131816122270218938, 5000, 1.0e-09, 1.0e-08, -0.0001, 2, 6, 3.29934e-06, 1.32305e-06
7571125302559483985, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 31, 1.29495e-06, 1.4506e-05
7189363410343663522, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 25, 4.06299e-06, 5.34515e-06
225214045638996837, 5000, 3.0e-09, 1.0e-11, -0.0001, 27, 24, 4.76851e-06, 6.1179e-06
5605364352765752355, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 22, 5.31417e-06, 7.69106e-06
5162502370336511336, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 29, 5.66724e-06, 9.5816e-06
7041277698965658992, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 26, 6.37798e-06, 6.3703e-06
513605877669166469, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 29, 4.89804e-06, 5.02188e-06
7440738960633643512, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 29, 6.63997e-06, 4.92326e-06
1617779423689803707, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 35, 3.05623e-06, 9.41363e-06
4139330689959715616, 5000, 3.0e-09, 1.0e-11, -0.0001, 21, 40, 4.61575e-06, 1.13685e-05
4073859308243945519, 5000, 1.0e-09, 1.0e-09, -0.0001, 5, 10, 1.99671e-06, 2.72114e-06
9155733558425816306, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 41, 1.70506e-06, 1.65329e-05
4458511795730581716, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 35, 8.18403e-06, 1.19151e-05
3750107438034206410, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 36, 1.86625e-06, 1.0615e-05
9107734617105966052, 5000, 3.0e-09, 1.0e-11, -0.0001, 19, 33, 5.80589e-06, 4.93958e-06
49809428021612984, 5000, 3.0e-09, 1.0e-11, -0.0001, 23, 32, 2.46417e-06, 1.1973e-05
464733637691974610, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 25, 1.03861e-06, 8.73559e-06
9028108820811013679, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 31, 1.6757e-06, 5.33196e-06
